Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
4043.a1.txt,0.1227364185110664,0.13682092555331993,0.07042253521126761,0.06438631790744467,0,0,0
2062.a1.txt,0.11824324324324324,0.14301801801801803,0.05292792792792793,0.04504504504504504,1,0,0
1001.a1.txt,0.16370558375634517,0.12690355329949238,0.07614213197969544,0.03807106598984772,0,0,0
3066.a1.txt,0.16908212560386474,0.10789049919484701,0.07568438003220612,0.05958132045088567,1,0,2
2071.a1.txt,0.10218978102189781,0.15693430656934307,0.07177615571776155,0.06690997566909976,0,0,0
2021.a1.txt,0.14251781472684086,0.1342042755344418,0.07838479809976247,0.060570071258907364,0,0,0
0202.a1.txt,0.1494661921708185,0.11743772241992882,0.06405693950177936,0.05219454329774614,0,0,1
0146.a1.txt,0.11483870967741935,0.15612903225806452,0.0567741935483871,0.06322580645161291,0,0,0
5015.a1.txt,0.11943793911007025,0.12646370023419204,0.06088992974238876,0.05152224824355972,0,0,0
1092.a1.txt,0.10054347826086957,0.1331521739130435,0.06114130434782609,0.08967391304347826,0,0,0
1042.a1.txt,0.13690476190476192,0.12414965986394558,0.06887755102040816,0.07653061224489796,5,0,3
2030.a1.txt,0.11973684210526316,0.14868421052631578,0.04473684210526316,0.060526315789473685,0,0,0
1021.a1.txt,0.12377450980392157,0.13480392156862744,0.0625,0.056372549019607844,2,0,1
0193.a1.txt,0.1203104786545925,0.1461836998706339,0.08020698576972833,0.055627425614489,1,1,1
1057.a1.txt,0.13553113553113552,0.1562881562881563,0.06715506715506715,0.05860805860805861,0,0,0
0177.a1.txt,0.09903381642512077,0.14251207729468598,0.07004830917874397,0.06280193236714976,0,0,0
2074.a1.txt,0.14285714285714285,0.09311224489795919,0.08673469387755102,0.09311224489795919,1,0,4
3005.a1.txt,0.14220183486238533,0.1720183486238532,0.05963302752293578,0.05733944954128441,1,0,0
1096.a1.txt,0.11990950226244344,0.13800904977375567,0.06787330316742081,0.07352941176470588,0,0,2
0219.a1.txt,0.1461352657004831,0.11473429951690821,0.07246376811594203,0.06280193236714976,0,0,0
1050.a1.txt,0.11658031088082901,0.12564766839378239,0.07124352331606218,0.08031088082901554,3,0,1
0216.a1.txt,0.1379746835443038,0.13164556962025317,0.06835443037974684,0.035443037974683546,1,0,0
