Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
2028.b5.txt,0.12934472934472935,0.13333333333333333,0.04786324786324787,0.037606837606837605,14,1,3
2032.b5.txt,0.0931520644511581,0.12235649546827794,0.052870090634441085,0.048841893252769386,13,1,3
0300.b5.txt,0.17569444444444443,0.07916666666666666,0.08055555555555556,0.04097222222222222,21,1,8
1100.b5.txt,0.1779842744817727,0.10721944245889921,0.07433881343817011,0.035739814152966405,14,0,6
0165.b5.txt,0.17446808510638298,0.09219858156028368,0.06950354609929078,0.03900709219858156,9,0,4
0310.b5.txt,0.15555555555555556,0.10476190476190476,0.08126984126984127,0.05206349206349206,7,0,2
1532.b5.txt,0.15478927203065135,0.1210727969348659,0.03984674329501916,0.034482758620689655,12,0,4
1003.b5.txt,0.14804469273743018,0.11312849162011174,0.055865921787709494,0.04120111731843575,7,0,4
1023.b5.txt,0.13657957244655583,0.12410926365795724,0.06532066508313539,0.058788598574821854,12,2,4
3020.b5.txt,0.1697019867549669,0.08195364238410596,0.08112582781456953,0.026490066225165563,7,0,5
2066.b5.txt,0.12916328188464662,0.1397238017871649,0.05117790414297319,0.03574329813160033,6,0,3
1533.b5.txt,0.15071868583162218,0.12320328542094455,0.048459958932238194,0.042299794661190965,14,0,9
0200.b5.txt,0.1709136109384711,0.09881914232442511,0.07147296457426973,0.049720323182100686,8,0,2
0103.b5.txt,0.17411402157164868,0.10631741140215717,0.08371854134566,0.035952747817154594,12,0,1
1057.b5.txt,0.1553398058252427,0.09765848086807538,0.08166761850371217,0.04283266704740148,10,0,2
1508.b5.txt,0.12298776561493883,0.1184803605924018,0.039278815196394076,0.04507405022537025,16,1,11
1021.b5.txt,0.17438173747622068,0.10145846544071022,0.060240963855421686,0.03170577045022194,12,0,3
0140.b5.txt,0.14193962748876043,0.10211946050096339,0.05844572896596018,0.04945407835581246,10,0,5
2034.b5.txt,0.1592787377911345,0.09241172051089407,0.0743801652892562,0.04432757325319309,9,0,5
2019.b5.txt,0.13806552262090482,0.10998439937597504,0.0499219968798752,0.0327613104524181,5,1,6
3018.b5.txt,0.14453125,0.10546875,0.06770833333333333,0.052734375,7,0,1
